City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Porto-Vecchio,FR,2021-11-28 21:27:24,41.591,9.2795,49.66,71,75,13.8
209,Susanville,US,2021-11-28 21:27:25,40.4163,-120.653,62.83,34,48,1.81
210,Banda Aceh,ID,2021-11-28 21:27:25,5.5577,95.3222,77.36,82,98,2.84
211,Zamora,EC,2021-11-28 21:27:25,-4.0692,-78.9567,81.64,61,72,4.79
212,Azare,NG,2021-11-28 21:27:26,11.6765,10.1948,75.34,17,82,8.97
213,Owando,CG,2021-11-28 21:27:26,-0.4819,15.8999,72.48,90,90,2.59
214,Chuy,UY,2021-11-28 21:27:26,-33.6971,-53.4616,66.07,96,100,4.14
215,Vaals,NL,2021-11-28 21:27:26,50.7708,6.0181,34.48,97,100,7.27
216,Christchurch,NZ,2021-11-28 21:24:13,-43.5333,172.6333,57.4,94,90,6.91
217,Iskateley,RU,2021-11-28 21:27:27,67.6803,53.1512,-7.38,100,83,5.64
218,Najran,SA,2021-11-28 21:27:27,17.4924,44.1277,61.45,37,3,0.51
219,Bandarbeyla,SO,2021-11-28 21:27:27,9.4942,50.8122,77.7,75,36,18.81
220,Fallon,US,2021-11-28 21:27:28,39.4735,-118.7774,57.07,21,1,0.0
221,Amahai,ID,2021-11-28 21:28:28,-3.3333,128.9167,78.26,85,88,3.53
222,Plettenberg Bay,ZA,2021-11-28 21:28:28,-34.0527,23.3716,64.67,83,81,8.46
223,Jinxiang,CN,2021-11-28 21:28:28,27.4327,120.6062,60.49,90,100,9.82
224,North Bend,US,2021-11-28 21:28:29,43.4065,-124.2243,57.11,88,40,9.22
225,Mount Isa,AU,2021-11-28 21:28:29,-20.7333,139.5,78.57,27,40,9.22
226,Tilichiki,RU,2021-11-28 21:28:29,60.4667,166.1,22.28,93,100,10.31
227,Qaqortoq,GL,2021-11-28 21:28:30,60.7167,-46.0333,36.1,98,100,9.19
228,Moorhead,US,2021-11-28 21:28:30,46.8739,-96.7676,35.56,51,90,6.91
229,Murmashi,RU,2021-11-28 21:28:30,68.8154,32.8115,0.16,96,48,4.07
230,Sarkikaraagac,TR,2021-11-28 21:28:30,38.0794,31.3664,50.7,86,6,7.83
231,Qasigiannguit,GL,2021-11-28 21:28:31,68.8193,-51.1922,19.65,86,100,4.81
232,Luderitz,NA,2021-11-28 21:28:31,-26.6481,15.1594,61.3,84,8,8.93
233,Leningradskiy,RU,2021-11-28 21:28:31,69.3833,178.4167,-20.92,94,89,11.32
234,Cabo San Lucas,MX,2021-11-28 21:25:06,22.8909,-109.9124,81.7,65,90,4.61
235,Urengoy,RU,2021-11-28 21:28:32,65.9667,78.3667,-23.12,100,82,3.67
236,Kamaishi,JP,2021-11-28 21:28:32,39.2667,141.8833,40.46,71,4,5.08
237,Kamenka,RU,2021-11-28 21:28:32,51.3223,42.7678,41.86,94,100,8.39
238,Ancud,CL,2021-11-28 21:28:32,-41.8697,-73.8203,58.53,69,73,9.15
239,Cherskiy,RU,2021-11-28 21:28:33,68.75,161.3,-11.42,99,100,6.53
240,Jumla,NP,2021-11-28 21:28:33,29.2747,82.1838,39.51,63,0,4.65
241,Naze,JP,2021-11-28 21:28:33,28.3667,129.4833,63.79,66,100,15.14
242,Seydisehir,TR,2021-11-28 21:28:34,37.4193,31.8453,48.78,91,36,5.95
243,Dzaoudzi,YT,2021-11-28 21:28:34,-12.7887,45.2699,78.69,89,20,5.75
244,Mandurah,AU,2021-11-28 21:28:34,-32.55,115.7,59.25,83,12,13.38
245,Mandalgovi,MN,2021-11-28 21:28:34,45.7625,106.2708,14.32,86,42,13.76
246,Omboue,GA,2021-11-28 21:28:35,-1.5746,9.2618,77.04,87,72,6.33
247,Berlevag,NO,2021-11-28 21:28:35,70.8578,29.0864,12.2,72,36,29.93
248,Kyren,RU,2021-11-28 21:28:35,51.6828,102.1408,9.16,84,76,2.46
249,Yulara,AU,2021-11-28 21:28:36,-25.2406,130.9889,62.44,45,0,4.61
250,Souillac,MU,2021-11-28 21:28:36,-20.5167,57.5167,73.78,83,20,3.44
251,Birin,NP,2021-11-28 21:28:36,26.8865,88.0718,47.91,63,4,5.53
252,Coahuayana,MX,2021-11-28 21:28:36,18.7333,-103.6833,92.68,41,0,7.4
253,Bengkulu,ID,2021-11-28 21:28:37,-3.8004,102.2655,75.85,85,100,4.72
254,Ambulu,ID,2021-11-28 21:28:37,-8.345,113.6058,73.31,90,100,3.27
255,Nalut,LY,2021-11-28 21:28:37,30.3333,10.85,53.85,65,5,17.18
256,Pacific Grove,US,2021-11-28 21:26:30,36.6177,-121.9166,74.88,33,1,6.91
257,Agirish,RU,2021-11-28 21:28:38,61.9247,63.0231,22.87,94,100,8.9
258,Fort Frances,CA,2021-11-28 21:28:38,48.5999,-93.4003,26.82,63,1,4.61
259,Skibbereen,IE,2021-11-28 21:28:38,51.55,-9.2667,48.0,85,100,10.92
260,Cochrane,CA,2021-11-28 21:23:48,51.1834,-114.4687,56.03,44,75,13.8
261,Vardo,NO,2021-11-28 21:28:38,70.3705,31.1107,15.78,86,90,13.8
262,Puerto Escondido,MX,2021-11-28 21:28:39,15.85,-97.0667,86.83,58,40,8.05
263,Acari,PE,2021-11-28 21:28:39,-15.4311,-74.6158,75.88,60,73,9.1
264,Morgan City,US,2021-11-28 21:28:39,29.6994,-91.2068,64.4,72,20,6.91
265,Tuatapere,NZ,2021-11-28 21:28:40,-46.1333,167.6833,58.75,46,22,3.49
266,Otane,NZ,2021-11-28 21:28:40,-39.8833,176.6333,70.38,61,58,1.61
267,Saint-Augustin,CA,2021-11-28 21:28:40,51.226,-58.6502,34.32,84,99,23.71
268,Marsh Harbour,BS,2021-11-28 21:29:40,26.5412,-77.0636,72.46,65,96,3.56
269,Hambantota,LK,2021-11-28 21:29:41,6.1241,81.1185,75.54,100,40,0.0
270,Inhambane,MZ,2021-11-28 21:27:52,-23.865,35.3833,71.83,68,1,11.52
271,Hamilton,US,2021-11-28 21:25:30,39.1834,-84.5333,45.84,35,1,12.66
272,Campbell River,CA,2021-11-28 21:29:41,50.0163,-125.2446,47.12,100,90,2.3
273,Lircay,PE,2021-11-28 21:29:41,-12.9896,-74.7205,61.34,58,97,4.68
274,Saldanha,ZA,2021-11-28 21:29:42,-33.0117,17.9442,62.65,85,26,5.35
275,Tessalit,ML,2021-11-28 21:29:42,20.1986,1.0114,76.86,25,100,8.41
276,Sitka,US,2021-11-28 21:29:42,57.0531,-135.33,35.49,69,75,18.41
277,Neiafu,TO,2021-11-28 21:29:43,-18.65,-173.9833,83.08,61,20,11.5
278,Bac Lieu,VN,2021-11-28 21:29:43,9.285,105.7244,74.95,98,100,9.15
279,Sakakah,SA,2021-11-28 21:29:43,29.9697,40.2064,58.57,34,3,4.63
280,Calbe,DE,2021-11-28 21:29:43,51.9,11.7667,32.67,87,82,4.21
281,Baruun-Urt,MN,2021-11-28 21:29:44,46.6806,113.2792,7.81,98,84,5.1
282,Lagoa,PT,2021-11-28 21:29:44,39.05,-27.9833,60.39,55,63,1.9
283,Libertador General San Martin,AR,2021-11-28 21:29:44,-23.8064,-64.7876,74.17,63,92,2.39
284,Olonets,RU,2021-11-28 21:29:45,60.9847,32.9698,20.32,87,100,6.51
285,Mackenzie,CA,2021-11-28 21:29:45,55.2999,-123.1698,41.22,75,90,6.91
