City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
416,Ilhabela,-23.7781,-45.3581,71.65,86,85,7.36,BR,2021-12-04 22:41:12,overcast clouds
417,Leona Vicario,20.9667,-87.1917,80.82,83,4,3.36,MX,2021-12-04 22:45:18,clear sky
418,Pontevedra,42.431,-8.6444,56.75,85,81,4.88,ES,2021-12-04 22:45:41,broken clouds
419,Tuy Hoa,13.0833,109.3,69.17,80,100,10.47,VN,2021-12-04 22:45:41,overcast clouds
420,Bako,5.7833,36.5667,67.37,57,80,3.65,ET,2021-12-04 22:45:42,broken clouds
421,Bereda,43.2686,-7.5406,47.95,100,81,4.68,ES,2021-12-04 22:45:42,broken clouds
422,Vila,42.0304,-8.1588,45.93,85,56,4.92,PT,2021-12-04 22:45:43,broken clouds
423,Sorland,67.667,12.6934,28.67,62,10,15.05,NO,2021-12-04 22:45:43,clear sky
424,Havoysund,70.9963,24.6622,14.88,92,98,13.02,NO,2021-12-04 22:45:43,overcast clouds
425,Chara,56.9064,118.2631,12.81,83,90,2.24,RU,2021-12-04 22:45:44,overcast clouds
426,Bathsheba,13.2167,-59.5167,81.21,74,75,18.41,BB,2021-12-04 22:45:44,broken clouds
427,Bell Ville,-32.6259,-62.6887,71.8,44,68,6.04,AR,2021-12-04 22:45:44,broken clouds
428,Bilma,18.6853,12.9164,64.02,24,2,12.93,NE,2021-12-04 22:45:45,clear sky
429,Rocha,-34.4833,-54.3333,61.11,90,70,5.61,UY,2021-12-04 22:45:45,broken clouds
430,Warwick,41.7001,-71.4162,42.89,69,90,4.61,US,2021-12-04 22:43:01,overcast clouds
431,Muros,42.7762,-9.0603,56.84,95,94,13.82,ES,2021-12-04 22:43:53,overcast clouds
432,Killeen,31.1171,-97.7278,76.44,71,20,10.36,US,2021-12-04 22:41:00,few clouds
433,Japura,-0.3167,102.35,73.04,98,100,1.01,ID,2021-12-04 22:45:45,light rain
434,Kaohsiung,22.6163,120.3133,64.04,78,40,3.44,TW,2021-12-04 22:40:48,scattered clouds
435,Deputatskiy,69.3,139.9,-37.34,95,64,1.97,RU,2021-12-04 22:45:46,broken clouds
436,Kathmandu,27.7167,85.3167,53.82,94,75,0.0,NP,2021-12-04 22:43:12,broken clouds
437,Miri,4.4148,114.0089,77.14,94,40,4.61,MY,2021-12-04 22:45:47,scattered clouds
438,Iranshahr,27.2025,60.6848,57.87,45,0,1.03,IR,2021-12-04 22:45:47,clear sky
439,Grand-Santi,4.25,-54.3833,73.45,98,89,2.3,GF,2021-12-04 22:45:48,overcast clouds
440,Songjianghe,42.1859,127.479,12.4,78,11,5.46,CN,2021-12-04 22:45:48,few clouds
441,Kushiro,42.975,144.3747,25.75,63,20,4.61,JP,2021-12-04 22:45:48,few clouds
442,Grand Gaube,-20.0064,57.6608,77.4,71,64,3.0,MU,2021-12-04 22:45:49,broken clouds
443,Andros Town,24.7,-77.7667,75.16,71,88,12.33,BS,2021-12-04 22:45:49,overcast clouds
444,Dabakala,8.3667,-4.4333,80.6,46,26,2.86,CI,2021-12-04 22:45:49,scattered clouds
445,Ponta Delgada,37.7333,-25.6667,63.5,77,75,3.44,PT,2021-12-04 22:45:50,broken clouds
446,North Bend,43.4065,-124.2243,54.25,88,90,11.5,US,2021-12-04 22:45:50,overcast clouds
447,Wasilla,61.5814,-149.4394,12.94,74,1,1.01,US,2021-12-04 22:45:50,clear sky
448,Chuy,-33.6971,-53.4616,64.04,91,100,7.52,UY,2021-12-04 22:45:50,overcast clouds
449,Corsicana,32.0954,-96.4689,76.24,76,90,1.99,US,2021-12-04 22:45:51,overcast clouds
450,Mantua,45.1667,10.7833,43.29,86,100,1.01,IT,2021-12-04 22:45:51,overcast clouds
451,Port-Gentil,-0.7193,8.7815,78.76,94,40,10.36,GA,2021-12-04 22:45:51,thunderstorm with light rain
452,Maragogi,-9.0122,-35.2225,78.31,84,47,9.98,BR,2021-12-04 22:45:52,scattered clouds
453,Caborca,30.5838,-111.101,72.81,19,100,2.57,MX,2021-12-04 22:46:52,overcast clouds
454,Tazmalt,36.3868,4.3989,48.67,68,0,5.1,DZ,2021-12-04 22:46:52,clear sky
455,Tari,12.4086,4.4914,74.64,17,6,9.73,NG,2021-12-04 22:46:53,clear sky
456,Quesnel,52.9999,-122.5029,25.3,80,90,4.61,CA,2021-12-04 22:42:12,light snow
457,Tura,25.5198,90.2201,65.8,73,100,2.01,IN,2021-12-04 22:43:34,overcast clouds
458,Ozark,37.0209,-93.206,60.3,51,29,1.01,US,2021-12-04 22:46:53,scattered clouds
459,Nasice,45.4886,18.0878,33.75,86,100,5.91,HR,2021-12-04 22:46:53,overcast clouds
460,Sabzevar,36.2126,57.6819,39.34,77,0,1.34,IR,2021-12-04 22:46:53,clear sky
461,Kokhma,56.9349,41.0915,16.39,95,100,4.36,RU,2021-12-04 22:46:54,overcast clouds
462,Tambura,5.6,27.4667,76.82,43,83,2.24,SS,2021-12-04 22:46:54,broken clouds
463,Belaya Gora,68.5333,146.4167,-43.17,100,84,1.79,RU,2021-12-04 22:46:54,broken clouds
464,Sistranda,63.7256,8.834,30.16,63,98,11.81,NO,2021-12-04 22:46:55,overcast clouds
465,Nawa,27.0167,75.0,61.41,67,0,3.76,IN,2021-12-04 22:46:55,clear sky
466,Pedra Branca,-5.4542,-39.7172,81.45,53,89,8.5,BR,2021-12-04 22:46:55,overcast clouds
467,Hirara,24.8,125.2833,66.47,63,20,10.36,JP,2021-12-04 22:46:56,few clouds
468,Rincon,32.296,-81.2354,69.76,60,75,5.75,US,2021-12-04 22:46:56,broken clouds
469,Kibuye,-2.0597,29.3482,65.53,81,100,2.75,RW,2021-12-04 22:46:56,light rain
470,Lata,40.1629,-8.3327,50.81,97,18,3.78,PT,2021-12-04 22:46:56,few clouds
471,Elat,29.5581,34.9482,64.24,55,0,0.0,IL,2021-12-04 22:46:57,clear sky
472,Yuzhno-Kurilsk,44.0306,145.8556,32.41,81,55,26.06,RU,2021-12-04 22:46:57,light snow
473,Monte Azul,-15.155,-42.8747,68.86,94,17,4.25,BR,2021-12-04 22:46:58,light rain
474,Zwedru,6.0667,-8.1281,75.51,87,42,2.66,LR,2021-12-04 22:46:58,light rain
475,Loviisa,60.4566,26.2251,9.28,82,77,10.96,FI,2021-12-04 22:46:58,broken clouds
476,Nampula,-15.1165,39.2666,75.15,78,0,11.5,MZ,2021-12-04 22:43:17,clear sky
477,Santa Isabel Do Rio Negro,-0.4139,-65.0192,75.15,97,99,1.57,BR,2021-12-04 22:46:59,overcast clouds
478,Okhotsk,59.3833,143.3,-22.45,90,74,10.83,RU,2021-12-04 22:46:59,broken clouds
479,Te Horo,-40.8084,175.1233,73.85,79,97,7.47,NZ,2021-12-04 22:46:59,overcast clouds
480,Srandakan,-7.9386,110.2506,63.73,88,100,5.55,ID,2021-12-04 22:47:00,overcast clouds
481,Rapina,58.0981,27.4636,14.29,96,79,5.3,EE,2021-12-04 22:47:00,broken clouds
482,Turukhansk,65.8167,87.9833,-29.94,100,100,3.06,RU,2021-12-04 22:47:01,overcast clouds
483,Malanje,-9.5402,16.341,65.75,97,100,1.5,AO,2021-12-04 22:47:01,light rain
484,Anupgarh,29.1911,73.2086,62.89,25,1,5.44,IN,2021-12-04 22:47:01,clear sky
485,Krasnoselkup,65.7,82.4667,-30.44,100,65,5.53,RU,2021-12-04 22:47:01,broken clouds
486,Goulburn,-34.75,149.7167,58.15,88,100,12.35,AU,2021-12-04 22:46:07,overcast clouds
487,Waingapu,-9.6567,120.2641,82.33,73,100,5.19,ID,2021-12-04 22:47:02,overcast clouds
488,Praya,14.9215,-23.5087,73.94,78,75,20.71,CV,2021-12-04 22:43:21,broken clouds
489,Porto Nacional,-10.7081,-48.4172,78.8,93,99,3.04,BR,2021-12-04 22:47:02,overcast clouds
490,Bhanpuri,21.1,80.9167,60.58,89,80,7.05,IN,2021-12-04 22:47:03,broken clouds
491,Oriximina,-1.7656,-55.8661,76.71,91,70,4.63,BR,2021-12-04 22:47:03,broken clouds
492,Atar,20.5169,-13.0499,72.77,15,60,9.31,MR,2021-12-04 22:47:03,broken clouds
493,Gigmoto,13.7796,124.39,76.73,76,97,16.6,PH,2021-12-04 22:47:04,overcast clouds
494,Maniitsoq,65.4167,-52.9,39.58,47,98,30.53,GL,2021-12-04 22:47:04,overcast clouds
495,Namatanai,-3.6667,152.4333,85.23,69,82,5.73,PG,2021-12-04 22:47:05,broken clouds
496,San Fernando,15.0286,120.6898,75.29,82,12,4.16,PH,2021-12-04 22:47:05,few clouds
497,Madison,34.7334,-86.5667,63.34,91,90,0.0,US,2021-12-04 22:47:05,mist
498,Alofi,-19.0595,-169.9187,82.29,78,53,6.91,NU,2021-12-04 22:43:54,light rain
499,Gidam,18.9833,81.4,61.86,98,98,2.75,IN,2021-12-04 22:47:05,overcast clouds
500,Volkhov,59.9258,32.3382,8.13,93,100,6.02,RU,2021-12-04 22:47:06,overcast clouds
501,Port Hawkesbury,45.6169,-61.3485,27.59,68,1,6.91,CA,2021-12-04 22:48:06,clear sky
502,Upata,8.0086,-62.3989,80.19,75,81,4.45,VE,2021-12-04 22:48:06,broken clouds
503,Mana,5.6592,-53.7767,78.17,88,100,9.51,GF,2021-12-04 22:48:07,overcast clouds
504,Helong,42.5397,128.9972,15.87,79,8,5.77,CN,2021-12-04 22:48:07,clear sky
505,Xining,36.6167,101.7667,25.43,29,0,2.57,CN,2021-12-04 22:48:07,clear sky
506,Bouloupari,-21.8667,166.05,84.94,62,51,2.19,NC,2021-12-04 22:48:07,broken clouds
507,Lobito,-12.3481,13.5456,76.57,84,100,2.35,AO,2021-12-04 22:48:08,overcast clouds
508,Inirida,3.8653,-67.9239,74.57,97,100,1.48,CO,2021-12-04 22:48:08,overcast clouds
509,Mackay,-21.15,149.2,83.68,74,40,11.5,AU,2021-12-04 22:48:08,scattered clouds
510,Doha,25.2867,51.5333,66.18,68,0,8.05,QA,2021-12-04 22:45:21,clear sky
511,Tacoronte,28.4769,-16.4102,60.26,76,40,15.01,ES,2021-12-04 22:48:09,scattered clouds
512,Jamame,0.0722,42.7506,77.52,81,17,8.57,SO,2021-12-04 22:48:09,few clouds
513,Mweka,-4.85,21.5667,68.27,100,100,1.9,CD,2021-12-04 22:48:09,moderate rain
514,Viljoenskroon,-27.2084,26.9485,59.34,92,100,12.5,ZA,2021-12-04 22:48:10,moderate rain
515,Parkes,-33.1333,148.1833,65.62,48,0,12.28,AU,2021-12-04 22:48:10,clear sky
516,Namibe,-15.1961,12.1522,70.07,71,40,4.43,AO,2021-12-04 22:48:10,scattered clouds
517,Ciudad Bolivar,8.1222,-63.5497,85.35,52,92,8.66,VE,2021-12-04 22:48:10,overcast clouds
518,Tselinnoye,53.0833,85.6667,15.42,99,95,4.41,RU,2021-12-04 22:48:11,overcast clouds
519,La Ronge,55.1001,-105.2842,-0.15,71,90,5.75,CA,2021-12-04 22:48:11,overcast clouds
520,Cestas,44.7435,-0.6791,49.66,85,75,1.99,FR,2021-12-04 22:48:11,broken clouds
521,Talara,-4.5772,-81.2719,72.36,78,0,16.11,PE,2021-12-04 22:48:11,clear sky
522,La Paz,-16.5,-68.15,55.38,71,75,5.75,BO,2021-12-04 22:44:41,broken clouds
523,Vestmannaeyjar,63.4427,-20.2734,36.12,61,43,8.39,IS,2021-12-04 22:48:12,scattered clouds
524,Broome,42.2506,-75.833,40.01,65,81,1.01,US,2021-12-04 22:44:44,broken clouds
525,Gambela,8.25,34.5833,80.44,41,52,3.27,ET,2021-12-04 22:48:12,broken clouds
526,Moussoro,13.6408,16.4901,76.68,15,10,11.01,TD,2021-12-04 22:48:13,clear sky
527,Changuinola,9.4333,-82.5167,77.72,84,50,3.65,PA,2021-12-04 22:48:13,scattered clouds
528,Aksu,41.1231,80.2644,26.8,45,100,0.45,CN,2021-12-04 22:48:13,overcast clouds
529,Saint-Pierre,-21.3393,55.4781,76.64,76,0,3.44,RE,2021-12-04 22:48:14,clear sky
530,Pocos De Caldas,-21.7878,-46.5614,62.67,87,38,2.48,BR,2021-12-04 22:44:51,scattered clouds
531,San Vicente,-26.6167,-54.1333,75.96,46,70,1.5,AR,2021-12-04 22:48:14,broken clouds
532,Belomorsk,64.5232,34.7668,14.2,72,36,11.34,RU,2021-12-04 22:48:14,scattered clouds
533,Gamba,-2.65,10.0,77.63,90,97,5.3,GA,2021-12-04 22:48:15,overcast clouds
534,Paramonga,-10.6667,-77.8333,68.25,82,98,9.48,PE,2021-12-04 22:48:15,overcast clouds
535,Luganville,-15.5333,167.1667,82.0,71,98,8.05,VU,2021-12-04 22:48:15,overcast clouds
536,Pemba,-12.974,40.5178,80.08,73,22,8.7,MZ,2021-12-04 22:48:16,few clouds
537,Encheng,22.1839,112.3026,53.78,37,55,4.23,CN,2021-12-04 22:48:16,broken clouds
538,Kieta,-6.2167,155.6333,85.91,67,100,1.54,PG,2021-12-04 22:48:16,overcast clouds
539,Bonavista,48.6499,-53.1147,29.12,50,77,27.89,CA,2021-12-04 22:47:14,broken clouds
540,San Miguel De Cauri,-10.1,-76.5833,49.96,82,100,5.46,PE,2021-12-04 22:48:16,overcast clouds
541,Brokopondo,4.75,-55.1667,77.7,86,85,6.98,SR,2021-12-04 22:48:17,overcast clouds
542,Mnogovershinnyy,53.9353,139.9242,-5.21,88,90,7.0,RU,2021-12-04 22:48:17,overcast clouds
543,Ngunguru,-35.6167,174.5,74.16,89,92,11.3,NZ,2021-12-04 22:48:17,overcast clouds
544,Balkhash,46.844,74.9804,29.93,53,98,12.15,KZ,2021-12-04 22:48:18,overcast clouds
545,Sampit,-2.5333,112.95,73.35,98,100,2.21,ID,2021-12-04 22:48:18,overcast clouds
546,Vostok,46.4856,135.8833,-4.65,91,71,5.12,RU,2021-12-04 22:48:18,broken clouds
547,Sesvete,45.8311,16.1164,39.79,81,0,3.44,HR,2021-12-04 22:48:19,clear sky
548,Cururupu,-1.8283,-44.8683,75.78,94,63,2.82,BR,2021-12-04 22:45:36,broken clouds
549,Yaan,7.3833,8.5667,81.14,29,75,2.59,NG,2021-12-04 22:48:19,broken clouds
550,Troitsko-Pechorsk,62.7084,56.1964,3.15,93,100,12.08,RU,2021-12-04 22:49:19,light snow
551,Sayat,38.7839,63.8803,39.07,41,100,3.76,TM,2021-12-04 22:49:20,overcast clouds
